Nazwa,Cena,Białko,Tłuszcz,Popiół,Włókno,Wilgotność,Wapń,Fosfor,Węglowodany,Energia,Skład,Opis,species,food_type
Royal Canin Kitten Sucha Karma dla kociąt op. 2kg,119.00,36.0%,18.0%,7.7%,2.3%,,1.2%,,,,"Suszone białko drobiowe, ryż, izolat białka roślinnego, tłuszcze zwierzęce, kukurydza, gluten kukurydziany, hydrolizat białka zwierzęcego, włókno roślinne, pulpa buraczana, drożdże i ich części, olej rybny","Karma przeznaczona dla kociąt w wieku od 4 do 12 miesiąca życia. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Kitten to karma sucha oparta na białku drobiowym, przeznaczona dla kociąt w wieku powyżej 4 miesiąca do 12 miesiąca życia. Karma zmniejsza ryzyko nadwagi, dzięki ograniczonej zawartości tłuszczy (18%), umiarkowanemu poziomowi energii oraz dodatkowi L-karnityny, pobudzającej metabolizm lipidów. Poprzez kompleks opatentowanych współdziałających przeciwutleniaczy (wit. E, C, luteina, tauryna), formuła sprzyja rozwojowi naturalnych mechanizmów obronnych organizmu kocięcia.Dodatkowo, harmonijny rozwój szkieletu i prawidłowej masy ciała, wspierają optymalne poziomy tłuszczów i białek. Co więcej, precyzyjna dawka wapnia i fosforu zapewnia prawidłowy przebieg mineralizacji kośćca.",cat,dry
Royal Canin Kitten Sucha Karma dla kociąt op. 400g,29.00,36.0%,18.0%,7.7%,2.3%,,1.2%,,,,"Suszone białko drobiowe, ryż, izolat białka roślinnego, tłuszcze zwierzęce, kukurydza, gluten kukurydziany, hydrolizat białka zwierzęcego, włókno roślinne, pulpa buraczana, drożdże i ich części, olej rybny","Karma przeznaczona dla kociąt w wieku od 4 do 12 miesiąca życia. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Kitten to karma sucha oparta na białku drobiowym, przeznaczona dla kociąt w wieku powyżej 4 miesiąca do 12 miesiąca życia. Karma zmniejsza ryzyko nadwagi, dzięki ograniczonej zawartości tłuszczy (18%), umiarkowanemu poziomowi energii oraz dodatkowi L-karnityny, pobudzającej metabolizm lipidów. Poprzez kompleks opatentowanych współdziałających przeciwutleniaczy (wit. E, C, luteina, tauryna), formuła sprzyja rozwojowi naturalnych mechanizmów obronnych organizmu kocięcia.Dodatkowo, harmonijny rozwój szkieletu i prawidłowej masy ciała, wspierają optymalne poziomy tłuszczów i białek. Co więcej, precyzyjna dawka wapnia i fosforu zapewnia prawidłowy przebieg mineralizacji kośćca.",cat,dry
Royal Canin Light Weight Care Sucha Karma dla kota op. 1.5kg,92.00,36.0%,10.0%,7.5%,7.5%,,,,,,"Suszone białko drobiowe, izolat białka roślinnego, kukurydza, włókno roślinne, hydrolizat białka zwierzęcego, pszenica, mąka kukurydziana, ryż, gluten kukurydziany, tłuszcze zwierzęce, pulpa buraczana","Karma przeznaczona dla kotów ze skłonnością do nadwagi. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Light Weight Care to karma sucha oparta na białku drobiowym, przeznaczona dla kotów dorosłych, pomagająca zachować prawidłową masę ciała. Dzięki odpowiedniej zawartości białka oraz kwasów tłuszczowych EPA-DHA, karma sprzyja prawidłowemu rozwojowi stawów i mięśni. Odpowiedni bilans składników mineralnych, wspomaga ochronę układu moczowego kota. Formuła redukuje ilość pobranych kalorii, zachowując przy tym odpowiednie zapotrzebowanie na energię.",cat,dry
Royal Canin Mature (7+) Sterilised Sucha Karma dla kota op. 1.5kg,89.00,36.0%,12.0%,7.6%,5.3%,,,,,,"Sole mineralne, pulpa buraczana, olej rybny, fruktooligosacharydy, łuski i nasiona psyllium, olej sojowy, hydrolizat skorupiaków (źródło glukozaminy), wyciąg z aksamitki wzniesionej (źródło luteiny), hydrolizat chrząstki (źródło chondroityny)","Karma przeznaczona dla kotów sterylizowanych powyżej 7 roku życia. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Mature (7+) Sterilised to karma sucha oparta na białku drobiowym, przeznaczona dla starszych kotów po zabiegu kastracji/sterylizacji. Zawarty w karmie kompleks opatentowanych współdziałających przeciwutleniaczy przyczynia się do utrzymania witalności, dzięki ochronie komórek przed działaniem wolnych rodników. Formuła zmniejsza ryzyko nadwagi, dzięki ograniczonej zawartości tłuszczy (12%) oraz dodatkowi L-karnityny, pobudzającej metabolizm lipidów. Dodatkowo, obniżona zawartość fosforu (0,80%), sprzyja prawidłowej pracy nerek.",cat,dry
Royal Canin Mature (7+) Sterilised Sucha Karma dla kota op. 10kg,339.00,36.0%,12.0%,7.6%,5.3%,,,,,,"Sole mineralne, pulpa buraczana, olej rybny, fruktooligosacharydy, łuski i nasiona psyllium, olej sojowy, hydrolizat skorupiaków (źródło glukozaminy), wyciąg z aksamitki wzniesionej (źródło luteiny), hydrolizat chrząstki (źródło chondroityny)","Karma przeznaczona dla kotów sterylizowanych powyżej 7 roku życia. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Mature (7+) Sterilised to karma sucha oparta na białku drobiowym, przeznaczona dla starszych kotów po zabiegu kastracji/sterylizacji. Zawarty w karmie kompleks opatentowanych współdziałających przeciwutleniaczy przyczynia się do utrzymania witalności, dzięki ochronie komórek przed działaniem wolnych rodników. Formuła zmniejsza ryzyko nadwagi, dzięki ograniczonej zawartości tłuszczy (12%) oraz dodatkowi L-karnityny, pobudzającej metabolizm lipidów. Dodatkowo, obniżona zawartość fosforu (0,80%), sprzyja prawidłowej pracy nerek.",cat,dry
Royal Canin Mature (7+) Sterilised Sucha Karma dla kota op. 3.5kg,165.00,36.0%,12.0%,7.6%,5.3%,,,,,,"Sole mineralne, pulpa buraczana, olej rybny, fruktooligosacharydy, łuski i nasiona psyllium, olej sojowy, hydrolizat skorupiaków (źródło glukozaminy), wyciąg z aksamitki wzniesionej (źródło luteiny), hydrolizat chrząstki (źródło chondroityny)","Karma przeznaczona dla kotów sterylizowanych powyżej 7 roku życia. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Mature (7+) Sterilised to karma sucha oparta na białku drobiowym, przeznaczona dla starszych kotów po zabiegu kastracji/sterylizacji. Zawarty w karmie kompleks opatentowanych współdziałających przeciwutleniaczy przyczynia się do utrzymania witalności, dzięki ochronie komórek przed działaniem wolnych rodników. Formuła zmniejsza ryzyko nadwagi, dzięki ograniczonej zawartości tłuszczy (12%) oraz dodatkowi L-karnityny, pobudzającej metabolizm lipidów. Dodatkowo, obniżona zawartość fosforu (0,80%), sprzyja prawidłowej pracy nerek.",cat,dry
Royal Canin Outdoor Sucha Karma dla kota op. 2kg,106.00,30.0%,20.0%,7.2%,1.3%,,,,,,"Sole mineralne, olej koprowy, olej sojowy, fruktooligosacharydy, wyciąg z drożdży (źródło mannooligosacharydów), olej z ogórecznika, wyciąg z aksamitki wzniesionej (źródło luteiny), hydrolizat skorupiaków (źródło glukozaminy), hydrolizat chrząstki (źródło chondroityny)","Karma przeznaczona dla kotów dorosłych, przebywających często na zewnątrz. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Outdoor to karma sucha oparta na białku drobiowym, przeznaczona dla kotów dorosłych, które przebywają często na zewnątrz. Zawarty w karmie kompleks opatentowanych współdziałających przeciwutleniaczy przyczynia się do utrzymania witalności, dzięki ochronie komórek przed działaniem wolnych rodników. Formuła sprzyja mocnym kościom i zdrowym stawom, dzięki współdziałaniu glukozaminy, chondroityny oraz niezbędnych kwasów tłuszczowych omega 3 (EPA-DHA) Również wzmacnia naturalny mechanizm obronny organizmu kota, dzięki zawartemu w karmie kompleksowi opatentowanych współdziałających przeciwutleniaczy.",cat,dry
Royal Canin senior 11+ Sterilised Sucha Karma dla kota op. 2kg,109.00,30.0%,17.0%,6.1%,2.9%,,,0.7%,,,"Kukurydza, pszenica, suszone białko drobiowe, gluten pszenny*, tłuszcz zwierzęcy, hydrolizowane białka zwierzęce, pulpa buraczana, gluten kukurydziany, olej sojowy, minerały, produkty drożdżowe, błonnik roślinny, mąka kukurydziana, olej z alg Schizochytrium sp. (źródło EPA+DHA), suszony przecier pomidorowy (źródło likopenu), babka płesznik (skórka i nasiona), fruktooligosacharydy, drożdże (źródło mannanooligosacharydów), glukozamina z fermentacji, olej rybi, mączka z nagietka, hydrolizowana chrząstka (źródło chondroityny; 0,001%).","Karma przeznaczona dla kotów powyżej 11 roku życia po sterylizacji/kastracji. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Senior 11+ Sterilised to karma oparta na białku drobiowym, przeznaczona dla kotów po sterylizacji/kastracji w wieku powyżej 11 roku życia. Karma sprzyja zachowaniu witalności u kotów powyżej 11. roku życia poprzez dodatek kwasów tłuszczowych i opatentowanego kompleksu współdziałających przeciwutleniaczy (witaminy, likopen, zielona herbata, polifenole z winogron) wpływających na ochronę komórek przed działaniem wolnych rodników. Dzięki zawartości L-karnityny, wpływającej na pobudzenie metabolizmu tłuszczy przy jednoczesnym zachowaniu masy mięśniowej, formuła sprzyja zachowaniu prawidłowej masy ciała, co jest niezmiernie ważne u kotów-seniorów po zabiegu sterylizacji/kastracji, ponieważ mają one dużą tendencję do tycia. Obniżona zawartość fosforu (0,7%) sprzyja prawidłowej pracy nerek. Krokiet karmy został dopasowany do kotów-seniorów, tak aby z łatwością kot mógł chwytać i gryźć granulkę.",cat,dry
Royal Canin senior 11+ Sterilised Sucha Karma dla kota op. 4kg,172.00,30.0%,17.0%,6.1%,2.9%,,,0.7%,,,"Kukurydza, pszenica, suszone białko drobiowe, gluten pszenny*, tłuszcz zwierzęcy, hydrolizowane białka zwierzęce, pulpa buraczana, gluten kukurydziany, olej sojowy, minerały, produkty drożdżowe, błonnik roślinny, mąka kukurydziana, olej z alg Schizochytrium sp. (źródło EPA+DHA), suszony przecier pomidorowy (źródło likopenu), babka płesznik (skórka i nasiona), fruktooligosacharydy, drożdże (źródło mannanooligosacharydów), glukozamina z fermentacji, olej rybi, mączka z nagietka, hydrolizowana chrząstka (źródło chondroityny; 0,001%).","Karma przeznaczona dla kotów powyżej 11 roku życia po sterylizacji/kastracji. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Senior 11+ Sterilised to karma oparta na białku drobiowym, przeznaczona dla kotów po sterylizacji/kastracji w wieku powyżej 11 roku życia. Karma sprzyja zachowaniu witalności u kotów powyżej 11. roku życia poprzez dodatek kwasów tłuszczowych i opatentowanego kompleksu współdziałających przeciwutleniaczy (witaminy, likopen, zielona herbata, polifenole z winogron) wpływających na ochronę komórek przed działaniem wolnych rodników. Dzięki zawartości L-karnityny, wpływającej na pobudzenie metabolizmu tłuszczy przy jednoczesnym zachowaniu masy mięśniowej, formuła sprzyja zachowaniu prawidłowej masy ciała, co jest niezmiernie ważne u kotów-seniorów po zabiegu sterylizacji/kastracji, ponieważ mają one dużą tendencję do tycia. Obniżona zawartość fosforu (0,7%) sprzyja prawidłowej pracy nerek. Krokiet karmy został dopasowany do kotów-seniorów, tak aby z łatwością kot mógł chwytać i gryźć granulkę.",cat,dry
Royal Canin Senior 11+ Sucha Karma dla kota op. 2kg,99.00,30.0%,17.0%,6.1%,2.9%,,,,,,"Kukurydza, pszenica, suszone białka drobiowe, gluten pszenny*, tłuszcze zwierzęce, hydrolizowane białka zwierzęce, wysłodki buraczane, gluten kukurydziany, olej sojowy, minerały, produkty z drożdży, włókno roślinne, mąka kukurydziana, olej z alg Schizochytrium sp. (źródło kwasów EPA+DHA), suszona pulpa pomidorowa (źródło likopenu), łuski i nasiona psyllium, fruktooligosacharydy, drożdże (źródło mannooligosacharydów), glukozamina uzyskana z fermentacji, olej z ryb, mączka z aksamitki, hydrolizowana chrząstka (źródło chondroityny 0,001%).","Karma przeznaczona dla kotów dojrzałych, powyżej 11 roku życia. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Ageing 11+ to karma sucha oparta na białku drobiowym, przeznaczona dla kotów dojrzałych w wieku powyżej 11 roku życia. Wspomaganie komórek do walki z efektami starzenia dzięki opatentowanemu kompleksowi przeciwutleniaczy (wit. E, C, luetina, tauryna) i polifenoli z zielonej herbaty, wzmocnione likopenem. Stymulowanie funkcji poznawczych oraz wspomaganie prawidłowej pracy układu nerwowego dzięki zawartości tryptofanu. Dodatek glukozaminy i chondroityny oraz kwasy tłuszczowe EPA-DHA, wspomagają prawidłowe funkcjonowanie stawów, co jest niezmiernie ważne w przypadku kotów-seniorów, które mogą mieć problemy z układem ruchu. Co więcej, obniżona zawartość fosforu (0,7%) sprzyja prawidłowej pracy nerek.",cat,dry
Royal Canin Senior 11+ Sucha Karma dla kota op. 400g,25.50,30.0%,17.0%,6.1%,2.9%,,,,,,"Kukurydza, pszenica, suszone białka drobiowe, gluten pszenny*, tłuszcze zwierzęce, hydrolizowane białka zwierzęce, wysłodki buraczane, gluten kukurydziany, olej sojowy, minerały, produkty z drożdży, włókno roślinne, mąka kukurydziana, olej z alg Schizochytrium sp. (źródło kwasów EPA+DHA), suszona pulpa pomidorowa (źródło likopenu), łuski i nasiona psyllium, fruktooligosacharydy, drożdże (źródło mannooligosacharydów), glukozamina uzyskana z fermentacji, olej z ryb, mączka z aksamitki, hydrolizowana chrząstka (źródło chondroityny 0,001%).","Karma przeznaczona dla kotów dojrzałych, powyżej 11 roku życia. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Ageing 11+ to karma sucha oparta na białku drobiowym, przeznaczona dla kotów dojrzałych w wieku powyżej 11 roku życia. Wspomaganie komórek do walki z efektami starzenia dzięki opatentowanemu kompleksowi przeciwutleniaczy (wit. E, C, luetina, tauryna) i polifenoli z zielonej herbaty, wzmocnione likopenem. Stymulowanie funkcji poznawczych oraz wspomaganie prawidłowej pracy układu nerwowego dzięki zawartości tryptofanu. Dodatek glukozaminy i chondroityny oraz kwasy tłuszczowe EPA-DHA, wspomagają prawidłowe funkcjonowanie stawów, co jest niezmiernie ważne w przypadku kotów-seniorów, które mogą mieć problemy z układem ruchu. Co więcej, obniżona zawartość fosforu (0,7%) sprzyja prawidłowej pracy nerek.",cat,dry
Royal Canin Senior 11+ Sucha Karma dla kota op. 4kg,172.00,30.0%,17.0%,6.1%,2.9%,,,,,,"Kukurydza, pszenica, suszone białka drobiowe, gluten pszenny*, tłuszcze zwierzęce, hydrolizowane białka zwierzęce, wysłodki buraczane, gluten kukurydziany, olej sojowy, minerały, produkty z drożdży, włókno roślinne, mąka kukurydziana, olej z alg Schizochytrium sp. (źródło kwasów EPA+DHA), suszona pulpa pomidorowa (źródło likopenu), łuski i nasiona psyllium, fruktooligosacharydy, drożdże (źródło mannooligosacharydów), glukozamina uzyskana z fermentacji, olej z ryb, mączka z aksamitki, hydrolizowana chrząstka (źródło chondroityny 0,001%).","Karma przeznaczona dla kotów dojrzałych, powyżej 11 roku życia. Royal Canin to francuska firma z wieloletnią tradycją, skupiająca się przede wszystkim na karmach bytowych oraz weterynaryjnych dla psów i kotów, każdej rasy i w każdym wieku. W ofercie tego producenta znajdziesz karmy suche oraz mokre - nie ma znaczenia jaką wybierzesz, ponieważ Twój pupil na pewno ją pokocha. Royal Canin Ageing 11+ to karma sucha oparta na białku drobiowym, przeznaczona dla kotów dojrzałych w wieku powyżej 11 roku życia. Wspomaganie komórek do walki z efektami starzenia dzięki opatentowanemu kompleksowi przeciwutleniaczy (wit. E, C, luetina, tauryna) i polifenoli z zielonej herbaty, wzmocnione likopenem. Stymulowanie funkcji poznawczych oraz wspomaganie prawidłowej pracy układu nerwowego dzięki zawartości tryptofanu. Dodatek glukozaminy i chondroityny oraz kwasy tłuszczowe EPA-DHA, wspomagają prawidłowe funkcjonowanie stawów, co jest niezmiernie ważne w przypadku kotów-seniorów, które mogą mieć problemy z układem ruchu. Co więcej, obniżona zawartość fosforu (0,7%) sprzyja prawidłowej pracy nerek.",cat,dry
